buyer_id,name,contact_number,budget_range
0,Buyer_0,542-596-1630,Low
1,Buyer_1,943-997-5696,High
2,Buyer_2,505-364-4185,High
3,Buyer_3,768-333-9642,High
4,Buyer_4,774-173-2663,Low
5,Buyer_5,847-885-3789,Medium
6,Buyer_6,906-326-6828,Medium
7,Buyer_7,843-904-4286,High
8,Buyer_8,415-612-3560,Medium
9,Buyer_9,343-863-8368,High
10,Buyer_10,343-499-8882,Medium
11,Buyer_11,161-984-7516,Low
12,Buyer_12,356-240-8277,Medium
13,Buyer_13,237-905-8965,Low
14,Buyer_14,232-520-3701,High
15,Buyer_15,874-835-1937,Low
16,Buyer_16,419-316-1338,Low
17,Buyer_17,534-117-3124,Low
18,Buyer_18,828-778-6008,Low
19,Buyer_19,438-915-7610,Medium
20,Buyer_20,653-272-3567,Medium
21,Buyer_21,541-198-8694,Medium
22,Buyer_22,765-881-8403,Medium
23,Buyer_23,848-380-2750,Medium
24,Buyer_24,655-778-9303,High
25,Buyer_25,867-305-9487,Low
26,Buyer_26,806-989-5218,Low
27,Buyer_27,849-270-2050,Medium
28,Buyer_28,319-203-3838,Low
29,Buyer_29,810-835-8096,Medium
30,Buyer_30,319-288-9970,Medium
31,Buyer_31,997-394-1727,High
32,Buyer_32,521-240-4241,Low
33,Buyer_33,718-495-9694,Medium
34,Buyer_34,869-478-5698,Medium
35,Buyer_35,202-290-3221,Medium
36,Buyer_36,429-423-5127,Low
37,Buyer_37,611-884-9494,Medium
38,Buyer_38,954-254-4668,High
39,Buyer_39,370-319-5354,High
40,Buyer_40,921-882-6465,Low
41,Buyer_41,136-636-9226,High
42,Buyer_42,216-128-1606,Low
43,Buyer_43,722-797-5338,Low
44,Buyer_44,121-954-1296,Medium
45,Buyer_45,622-230-5138,Medium
46,Buyer_46,540-257-8149,High
47,Buyer_47,800-807-3556,High
48,Buyer_48,928-869-1254,Low
49,Buyer_49,676-992-1736,High
50,Buyer_50,163-494-6828,High
51,Buyer_51,899-181-1562,High
52,Buyer_52,383-573-7562,High
53,Buyer_53,698-999-2717,Low
54,Buyer_54,893-755-6822,Low
55,Buyer_55,727-404-3059,Low
56,Buyer_56,492-610-7760,High
57,Buyer_57,915-492-5683,High
58,Buyer_58,950-171-3390,Medium
59,Buyer_59,354-473-5116,Medium
60,Buyer_60,241-186-3512,High
61,Buyer_61,184-391-2835,Low
62,Buyer_62,270-856-3247,Medium
63,Buyer_63,875-718-6226,High
64,Buyer_64,646-734-3156,Medium
65,Buyer_65,604-797-5304,Low
66,Buyer_66,601-714-7971,Medium
67,Buyer_67,488-709-3425,Medium
68,Buyer_68,688-559-1352,Low
69,Buyer_69,411-814-3516,High
70,Buyer_70,710-387-9667,Medium
71,Buyer_71,387-887-9255,High
72,Buyer_72,730-153-7888,High
73,Buyer_73,835-713-9627,High
74,Buyer_74,822-462-5611,High
75,Buyer_75,943-792-1103,Medium
76,Buyer_76,792-498-8821,Medium
77,Buyer_77,620-841-7055,High
78,Buyer_78,682-329-3404,Medium
79,Buyer_79,943-101-8970,Low
80,Buyer_80,768-390-6120,High
81,Buyer_81,848-406-3376,Low
82,Buyer_82,638-720-4073,High
83,Buyer_83,750-904-2587,Medium
84,Buyer_84,607-837-7491,High
85,Buyer_85,203-556-4244,High
86,Buyer_86,747-685-9879,Low
87,Buyer_87,462-480-5682,Low
88,Buyer_88,578-997-3372,High
89,Buyer_89,266-339-1920,Low
90,Buyer_90,177-189-6273,High
91,Buyer_91,194-257-7523,High
92,Buyer_92,833-793-8324,Medium
93,Buyer_93,717-389-8800,Medium
94,Buyer_94,935-951-4050,Low
95,Buyer_95,371-960-6235,Medium
96,Buyer_96,837-799-9677,Low
97,Buyer_97,789-336-9157,Low
98,Buyer_98,181-864-9961,High
99,Buyer_99,981-276-3854,High
